model,eq_oracle,tests,states,equivalent,learning_queries,learning_steps,eq_queries,eq_steps
OpenSSH29,randomWp,500000,29,True,947,7296,88699,960380
DropBearOrig,randomWp,500000,17,True,563,3464,2656,28024
OpenSSH34,randomWp,500000,34,True,973,6439,123794,1213077
OpenSSH36,randomWp,500000,36,True,987,6742,74019,773012
DropBear24,randomWp,500000,24,True,635,2661,2328,20657
BitVise59,randomWp,500000,59,True,2246,23086,102275,1346289
OpenSSH31,randomWp,500000,31,True,852,4454,233205,2343787
BitVise45,randomWp,500000,45,True,1582,19198,17576,233272
DropBear20,randomWp,500000,20,True,623,3583,740,7002
DropBear26,randomWp,500000,26,True,796,4034,475,4335
DropBear22,randomWp,500000,22,True,582,2625,469,4222
OpenSSH26,randomWp,500000,26,True,772,4544,19625,203908
BitVise54,randomWp,500000,54,True,1948,22912,115167,1541126
BitVise39,randomWp,500000,39,True,1393,9870,2581,27593
OpenSSH28,randomWp,500000,28,True,853,4751,12808,126815
BitVise57,randomWp,500000,57,True,2204,21644,70498,891204
BitViseOrig,randomWp,500000,66,True,2519,24659,131727,1769735
BitVise63,randomWp,500000,63,True,2442,23115,41706,543600
BitVise47,randomWp,500000,47,True,1668,19168,6896,81835
OpenSSHOrig,randomWp,500000,27,True,864,6523,7943,82814
OpenSSH29,randomWp,500000,29,True,892,6007,166283,1798576
DropBearOrig,randomWp,500000,17,True,529,3122,377,3727
OpenSSH34,randomWp,500000,34,True,1026,6626,32508,316476
OpenSSH36,randomWp,500000,36,True,1024,6027,133479,1396149
DropBear24,randomWp,500000,24,True,761,3692,3237,29061
BitVise59,randomWp,500000,59,True,2291,24722,89256,1172832
OpenSSH31,randomWp,500000,31,True,901,4746,49715,500112
BitVise45,randomWp,500000,45,True,1506,19411,22240,288490
DropBear20,randomWp,500000,20,True,609,3252,191,1882
DropBear26,randomWp,500000,26,True,812,4046,1340,11825
DropBear22,randomWp,500000,22,True,696,3134,289,2524
OpenSSH26,randomWp,500000,26,True,718,5105,991,9515
BitVise54,randomWp,500000,54,True,1982,20747,23666,308377
BitVise39,randomWp,500000,39,True,1361,8921,3054,32085
OpenSSH28,randomWp,500000,28,True,813,4446,27425,271014
BitVise57,randomWp,500000,57,True,2214,21145,87595,1111535
BitViseOrig,randomWp,500000,66,True,2509,24286,78637,1068005
BitVise63,randomWp,500000,63,True,2277,21924,91079,1190011
BitVise47,randomWp,500000,47,True,1590,12415,3224,37554
OpenSSHOrig,randomWp,500000,27,True,745,4684,7888,84851
OpenSSH29,randomWp,500000,29,True,868,5323,96577,1043376
DropBearOrig,randomWp,500000,17,True,554,3287,1305,13906
OpenSSH34,randomWp,500000,34,True,1028,6124,53626,523831
OpenSSH36,randomWp,500000,36,True,1013,6054,3928,40071
DropBear24,randomWp,500000,24,True,702,3713,483,4502
BitVise59,randomWp,500000,59,True,2132,22803,39609,520177
OpenSSH31,randomWp,500000,31,True,877,5924,46280,464038
BitVise45,randomWp,500000,45,True,1530,19032,14095,182255
DropBear20,randomWp,500000,20,True,661,3818,376,3547
DropBear26,randomWp,500000,26,True,783,3717,730,6414
DropBear22,randomWp,500000,22,True,676,3348,3155,29288
OpenSSH26,randomWp,500000,26,True,769,4664,23351,246108
BitVise54,randomWp,500000,54,True,2027,18783,31939,423059
BitVise39,randomWp,500000,39,True,1386,9314,7258,74326
OpenSSH28,randomWp,500000,28,True,759,4039,28340,286575
BitVise57,randomWp,500000,57,True,2116,19976,21888,271618
BitViseOrig,randomWp,500000,66,True,2650,37572,319111,4360831
BitVise63,randomWp,500000,63,True,2477,23685,109472,1444207
BitVise47,randomWp,500000,47,True,1666,14589,11807,140823
OpenSSHOrig,randomWp,500000,27,True,838,4900,21205,230852
OpenSSH29,randomWp,500000,29,True,777,4973,4325,47021
DropBearOrig,randomWp,500000,17,True,564,3530,155,1426
OpenSSH34,randomWp,500000,34,True,1005,5261,17669,172006
OpenSSH36,randomWp,500000,36,True,1028,6826,67885,709054
DropBear24,randomWp,500000,24,True,764,3525,108,914
BitVise59,randomWp,500000,59,True,2188,21604,114084,1496443
OpenSSH31,randomWp,500000,31,True,908,5110,17563,175700
BitVise45,randomWp,500000,45,True,1604,16325,4185,50865
DropBear20,randomWp,500000,20,True,649,3497,325,3016
DropBear26,randomWp,500000,26,True,895,3976,143,1278
DropBear22,randomWp,500000,22,True,700,3492,348,3242
OpenSSH26,randomWp,500000,26,True,785,4818,52605,553072
