method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),b
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,386591,2136562,5,2,548,24,None
IF-AL#,RandomWp50,RandomWp50,adg,2374,7095,205943,1324538,16975,98742,8,8,438,30,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,294888,1472919,0,3,553,25,None
IF-AL#,RandomWp25,RandomWp25,adg,2494,7580,104169,661305,13466,71244,14,9,410,31,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,397083,2175838,0,3,554,25,None
IF-AL#,RandomWp50,RandomWp50,adg,2549,7473,216847,1430286,16903,98380,5,5,547,27,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,290182,1456309,1,3,549,25,None
IF-AL#,RandomWp25,RandomWp25,adg,2256,6637,102344,645031,12028,62919,11,5,390,27,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,392086,2158921,1,5,550,27,None
IF-AL#,RandomWp50,RandomWp50,adg,2909,8750,208923,1354483,18113,105456,4,9,470,31,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,282408,1425090,10,7,540,29,None
IF-AL#,RandomWp25,RandomWp25,adg,2463,7442,110074,719997,12454,66749,8,5,520,27,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,391022,2155420,3,5,548,27,None
IF-AL#,RandomWp50,RandomWp50,adg,1943,6724,209958,1366715,18319,105266,2,11,486,33,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,289751,1457140,1,6,549,28,None
IF-AL#,RandomWp25,RandomWp25,adg,2713,8117,103776,655315,12831,66040,10,9,405,31,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,391798,2158519,1,4,552,26,None
IF-AL#,RandomWp50,RandomWp50,adg,2409,7191,207863,1336640,18898,110326,3,8,455,30,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,283289,1427152,5,6,545,28,None
IF-AL#,RandomWp25,RandomWp25,adg,2399,7115,111925,732981,11769,63574,7,4,543,26,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,387483,2140054,4,3,550,25,None
IF-AL#,RandomWp50,RandomWp50,adg,2319,6854,215774,1422150,17339,102557,4,4,531,26,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,283680,1431742,3,8,544,30,None
IF-AL#,RandomWp25,RandomWp25,adg,2314,6852,111241,728534,11753,63614,15,4,531,26,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,392723,2164453,0,5,554,27,None
IF-AL#,RandomWp50,RandomWp50,adg,2376,7441,205486,1325904,18363,104979,7,11,448,33,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,290273,1459407,0,6,551,28,None
IF-AL#,RandomWp25,RandomWp25,adg,2003,6720,105491,669232,12298,64710,7,6,430,28,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,398082,2182416,0,1,555,23,None
IF-AL#,RandomWp50,RandomWp50,adg,1969,6203,215155,1417499,16329,95881,7,3,522,25,None
AL#,RandomWp25,RandomWp25,adg,0,0,0,0,294485,1470592,0,5,552,27,None
IF-AL#,RandomWp25,RandomWp25,adg,2389,6792,105791,676622,12416,65710,11,8,452,30,None
AL#,RandomWp50,RandomWp50,adg,0,0,0,0,397690,2179636,0,3,552,25,None
IF-AL#,RandomWp50,RandomWp50,adg,2062,6531,216654,1433469,17589,102884,15,6,560,28,None

