method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications),b
IF-AL#,RandomWp200,RandomWp200,adg,243,1344,478604,4385416,260840,2485503,0,9,62,29,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,816291,7164169,0,7,67,27,None
IF-AL#,RandomWp200,RandomWp200,adg,359,1510,470832,4313885,254932,2366793,0,9,72,29,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,825943,7325775,0,12,75,32,None
IF-AL#,RandomWp200,RandomWp200,adg,311,1503,503389,4767037,224238,2060806,0,6,79,26,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,816222,7172990,0,12,70,32,None
IF-AL#,RandomWp200,RandomWp200,adg,350,1462,490169,4515027,241992,2256303,0,8,78,28,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,816921,7188393,0,11,75,31,None
IF-AL#,RandomWp200,RandomWp200,adg,302,1486,482115,4484479,256167,2428825,0,9,72,29,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,819525,7218744,0,10,76,30,None
IF-AL#,RandomWp200,RandomWp200,adg,337,1317,521678,4913017,214050,1994371,0,5,87,25,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,812593,7133418,0,13,70,33,None
IF-AL#,RandomWp200,RandomWp200,adg,309,1366,471114,4325804,279960,2683454,0,11,73,31,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,818913,7216345,0,14,71,34,None
IF-AL#,RandomWp200,RandomWp200,adg,313,1484,477309,4442561,275115,2616151,0,12,77,32,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,822646,7264473,0,8,75,28,None
IF-AL#,RandomWp200,RandomWp200,adg,363,1433,492142,4525005,232019,2156133,0,6,68,26,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,833039,7458295,0,10,74,30,None
IF-AL#,RandomWp200,RandomWp200,adg,294,1343,492916,4569730,238536,2228194,0,7,85,27,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,840597,7578156,0,9,79,29,None
IF-AL#,RandomWp200,RandomWp200,adg,350,1375,503990,4743610,218966,1975138,0,6,86,26,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,828970,7357601,0,10,85,30,None
IF-AL#,RandomWp200,RandomWp200,adg,271,1252,512380,4745042,189191,1721167,0,2,73,22,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,821885,7250761,0,11,78,31,None
IF-AL#,RandomWp200,RandomWp200,adg,297,1479,498416,4609473,250996,2450342,0,7,69,27,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,829392,7392296,0,13,72,33,None
IF-AL#,RandomWp200,RandomWp200,adg,345,1538,489504,4548660,256283,2435393,0,10,78,30,None
AL#,RandomWp200,RandomWp200,adg,0,0,0,0,825176,7304037,0,10,79,30,None
IF-AL#,RandomWp200,RandomWp200,adg,333,1464,489649,4540769,248305,2357566,0,8,80,28,None

