method,oracle_type1,oracle_type2,fingerprint_type,total_separating_queries,total_separating_symbols,total_conformance_queries,total_conformance_symbols,total_learning_queries,total_learning_symbols,false_positives,false_negatives,learned_models,len(specifications)
IF-AL#,RandomWp100,RandomWp25,adg,2087,6446,421222,2824434,13379,72034,4,9,577,31
IF-AL#,RandomWp100,RandomWp50,adg,2235,7421,412336,2750416,18011,104940,2,7,531,29
IF-AL#,RandomWp100,RandomWp100,adg,1957,5515,421382,2817772,23586,148867,1,0,555,22
IF-AL#,RandomWp25,RandomWp25,adg,2035,6514,106247,685862,14174,75323,14,14,495,36
IF-AL#,RandomWp25,RandomWp50,adg,2195,7012,108654,703270,18217,105697,3,7,497,29
IF-AL#,RandomWp25,RandomWp100,adg,2221,6679,107707,696686,29581,183556,7,8,486,30
IF-AL#,RandomWp50,RandomWp25,adg,2313,7228,212751,1400637,13993,74158,3,13,536,35
IF-AL#,RandomWp50,RandomWp50,adg,2094,6775,215527,1416589,18335,106722,0,7,534,29
IF-AL#,RandomWp50,RandomWp100,adg,2124,7606,213797,1406104,28145,176804,10,6,524,28
IF-AL#,RandomWp100,RandomWp25,adg,2367,7432,412491,2751471,13227,71281,32,9,539,31
IF-AL#,RandomWp100,RandomWp50,adg,2481,7989,414354,2766177,17920,103469,3,5,539,27
IF-AL#,RandomWp100,RandomWp100,adg,1934,5434,416981,2785078,25110,159283,1,2,539,24
IF-AL#,RandomWp25,RandomWp25,adg,2241,6236,100355,628361,12987,67366,14,10,354,32
IF-AL#,RandomWp25,RandomWp50,adg,1948,5627,112553,736617,15809,92975,2,2,554,24
IF-AL#,RandomWp25,RandomWp100,adg,2055,7936,109825,716891,30796,194669,4,7,514,29
IF-AL#,RandomWp50,RandomWp25,adg,2093,6353,205817,1327052,12177,65627,5,8,466,30
IF-AL#,RandomWp50,RandomWp50,adg,2112,6100,216888,1432199,16913,99940,6,4,545,26
IF-AL#,RandomWp50,RandomWp100,adg,1960,5583,224044,1487670,26976,171802,1,2,593,24
IF-AL#,RandomWp100,RandomWp25,adg,1982,7086,409590,2719922,13316,72415,4,9,524,31
IF-AL#,RandomWp100,RandomWp50,adg,2137,8216,416736,2783206,18039,105177,1,6,548,28
IF-AL#,RandomWp100,RandomWp100,adg,2136,6553,414726,2752299,25654,162728,0,2,528,24
IF-AL#,RandomWp25,RandomWp25,adg,2177,6461,106971,688945,13697,73371,12,10,470,32
IF-AL#,RandomWp25,RandomWp50,adg,1987,5515,110933,726213,17363,102404,8,4,530,26
IF-AL#,RandomWp25,RandomWp100,adg,2199,6103,111936,732147,25133,158105,11,1,545,23
IF-AL#,RandomWp50,RandomWp25,adg,2045,6539,212304,1396363,11998,64497,12,7,519,29
IF-AL#,RandomWp50,RandomWp50,adg,2064,6188,207799,1335908,17152,100617,0,4,443,26
IF-AL#,RandomWp50,RandomWp100,adg,2338,6686,205960,1325785,28913,179436,1,7,453,29
IF-AL#,RandomWp100,RandomWp25,adg,2004,5855,420017,2810651,11558,61669,2,2,553,24
IF-AL#,RandomWp100,RandomWp50,adg,1995,5785,415721,2776466,15994,94519,2,4,534,26
IF-AL#,RandomWp100,RandomWp100,adg,2324,6579,416663,2785484,27838,175006,1,4,547,26
IF-AL#,RandomWp25,RandomWp25,adg,2098,6599,108198,705773,13974,75125,8,11,505,33
IF-AL#,RandomWp25,RandomWp50,adg,1994,5619,111128,726679,16602,96349,3,3,545,25
IF-AL#,RandomWp25,RandomWp100,adg,2076,6976,106792,682520,27213,169652,11,6,456,27
IF-AL#,RandomWp50,RandomWp25,adg,2214,6878,219403,1453723,13291,71866,4,6,572,28
IF-AL#,RandomWp50,RandomWp50,adg,2273,6841,211772,1382938,19421,112771,2,10,513,32
IF-AL#,RandomWp50,RandomWp100,adg,1928,5756,219096,1447364,26424,169276,1,2,554,24
IF-AL#,RandomWp100,RandomWp25,adg,2025,6054,399030,2604590,11452,61380,0,4,446,26
IF-AL#,RandomWp100,RandomWp50,adg,2353,7509,415165,2774945,18401,106513,3,8,546,30
IF-AL#,RandomWp100,RandomWp100,adg,2154,8039,412078,2742060,29620,187017,3,7,531,29
